composition_1,composition_2,composition_3,density,electronegativity,atomic_radius,band_gap,energy_above_hull,melting_point
0.5,0.5,0.0,5.97556550535159,1.7599999999999998,1.3633333333333333,0.0,0.044578214444443,-0.025036292222222003
0.5,0.5,0.0,7.117473278074657,1.7,1.4666666666666668,0.0,0.016952406249998,-0.164215934999999
0.5,0.5,0.0,8.909116155615983,1.8233333333333335,1.54,0.0,0.0,-0.3686861925
0.5,0.5,0.0,5.412413089218342,1.6066666666666667,1.4833333333333334,0.0,0.0,-0.16105888646551703
0.5,0.5,0.0,3.473110743686645,2.4166666666666665,1.0866666666666667,2.4445,0.009800899285719,-3.410629022142856
0.5,0.5,0.0,5.094632099567751,1.8625,1.305,0.0,0.0013378268750050002,-0.3422021725
0.5,0.5,0.0,7.137034879353089,1.745,1.48,0.0,0.037073238749999,-0.29205683999999904
0.5,0.5,0.0,5.57491222041338,1.8675000000000002,1.4024999999999999,0.0,0.031676111123189,-0.37752296648550904
0.5,0.5,0.0,5.45194410649955,1.9400000000000002,1.17,0.0,0.0,-0.17222914625000002
0.5,0.5,0.0,5.452147327232025,1.7700000000000002,1.2366666666666666,0.0,0.0,-0.38110427100000005
0.5,0.5,0.0,5.468390825826213,1.7700000000000002,1.2366666666666666,0.0,0.0,-0.36287728624999804
0.5,0.5,0.0,5.356924856499302,1.6066666666666667,1.4833333333333334,0.0,0.0,-0.163298816321839
0.5,0.5,0.0,4.994100188680455,1.84,1.3175,0.0,0.020289355749998003,-0.30025425791666605
0.5,0.5,0.0,6.131138957374102,1.9075000000000002,1.2175,0.0,0.0005288318749980001,-0.1504028321875
0.5,0.5,0.0,6.701241054958837,1.7200000000000002,1.37,0.0,0.0,-0.198893174999999
0.5,0.5,0.0,5.969529360107075,1.7200000000000002,1.37,0.0,0.0,-0.326887014999999
0.5,0.5,0.0,6.710751133839217,1.7200000000000002,1.37,0.0,0.035353807499999,-0.163539367499999
0.5,0.5,0.0,6.807371372567034,1.59,1.6000000000000003,0.0,0.011692672500002001,-0.374860698333328
0.5,0.5,0.0,5.841099636113581,1.5533333333333335,1.62,0.0,0.017427263493589,-0.152249979999998
0.5,0.5,0.0,12.679717494737096,1.6066666666666667,1.4966666666666668,0.0,0.004517732500000001,-0.15533163499999703
0.5,0.5,0.0,8.461101743642743,1.5133333333333336,1.6633333333333333,0.0,0.017619961562499002,-0.157529342222221
0.5,0.5,0.0,8.463605465241216,1.5566666666666666,1.4966666666666668,0.0,0.009983281223957,-0.18934736666666402
0.5,0.5,0.0,8.649075496018266,1.5599999999999998,1.6666666666666667,0.0,0.0076266824999970005,-0.21294089499999702
0.5,0.5,0.0,8.28875687771397,1.5466666666666669,1.6900000000000002,0.0,0.032602527610297,-0.10922562499999901
0.5,0.5,0.0,7.570460549682085,1.5200000000000002,1.53,0.0,0.011688269166663,-0.16429355
0.5,0.5,0.0,7.004425546712333,1.59,1.6000000000000003,0.0,0.0,-0.289543898333332
0.5,0.5,0.0,3.709844713765956,1.67,1.2866666666666666,0.0,0.0,-0.236783661666664
0.5,0.5,0.0,6.412129531661077,1.8800000000000001,1.09,0.0,0.0,-0.20500472224999902
0.5,0.5,0.0,6.300659849414099,1.9966666666666668,1.1366666666666667,0.0,0.0,-0.159749470999999
